# ----------------------------------------
# CitationFormatChecker
# Landing Page Performance [PSEO]-Free form 1
# 20251029-20251228
# ----------------------------------------

,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals,Totals,Totals
Landing page + query string,Session source / medium,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate
/how-to-check-citation-consistency-apa/,(direct) / (none),4,4,4,0,0,0,4,4,4,0,0,0
/how-to-check-reference-list-apa/,(direct) / (none),4,4,4,1,0.25,0,4,4,4,1,0.25,0
/how-to-cite-edited-book-apa/,bing / organic,4,4,4,29,7.25,0.5,4,4,4,29,7.25,0.5
/how-to-cite-facebook-apa/,chatgpt.com / referral,4,4,4,85,21.25,0.75,4,4,4,85,21.25,0.75
/how-to-cite-facebook-apa/,google / organic,4,4,4,0,0,0,4,4,4,0,0,0
/how-to-cite-linkedin-apa/,bing / organic,4,3,3,347,86.75,0.75,4,3,3,347,86.75,0.75
/how-to-cite-newspaper-apa/,google / organic,4,4,4,0,0,0,4,4,4,0,0,0
/how-to-cite-press-release-apa/,bing / organic,4,4,4,153,38.25,0.75,4,4,4,153,38.25,0.75
/how-to-cite-ted-talk-apa/,(direct) / (none),4,4,4,5,1.25,0,4,4,4,5,1.25,0
/how-to-cite-ted-talk-apa/,bing / organic,4,4,4,33,8.25,0.5,4,4,4,33,8.25,0.5
/how-to-cite-tv-episode-apa/,(direct) / (none),4,4,4,1,0.25,0,4,4,4,1,0.25,0
/how-to-cite-twitter-apa/,google / organic,4,4,4,40,10,0.25,4,4,4,40,10,0.25
/cite-bbc-news-apa/,bing / organic,3,3,3,115,38.333333333333336,1,3,3,3,115,38.333333333333336,1
/cite-britannica-apa/,duckduckgo / organic,3,3,3,84,28,1,3,3,3,84,28,1
/cite-environmental-science-technology-apa/,(direct) / (none),3,3,3,1,0.3333333333333333,1,3,3,3,1,0.3333333333333333,1
/cite-epa-apa/,bing / organic,3,3,3,186,62,1,3,3,3,186,62,1
/cite-google-scholar-apa/,chatgpt.com / (not set),3,3,3,0,0,1,3,3,3,0,0,1
