# ----------------------------------------
# CitationFormatChecker
# Events: Event name-Tab 3
# 20251201-20251228
# ----------------------------------------

,,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals
Event name,Landing page,Session source / medium,Event count,Total users,Event count per active user,Total revenue,Event count,Total users,Event count per active user,Total revenue
scroll_depth,/how-to-cite-twitter-apa,chatgpt.com / referral,6,1,6,0,6,1,6,0
session_start,/cite-apa-journal-apa,bing / organic,6,6,1,0,6,6,1,0
session_start,/cite-britannica-apa,google / organic,6,6,1,0,6,6,1,0
session_start,/cite-cdc-apa,(direct) / (none),6,6,1,0,6,6,1,0
session_start,/cite-nature-physics-apa,(direct) / (none),6,6,1,0,6,6,1,0
session_start,/guide/apa-graduate-students,bing / organic,6,5,1.2,0,6,5,1.2,0
session_start,/guide/apa-in-text-citations,(direct) / (none),6,6,1,0,6,6,1,0
session_start,/how-to-cite-dictionary-apa,(direct) / (none),6,6,1,0,6,6,1,0
session_start,/how-to-cite-edited-book-apa,(direct) / (none),6,6,1,0,6,6,1,0
session_start,/how-to-cite-newspaper-apa,(direct) / (none),6,6,1,0,6,6,1,0
session_start,/how-to-cite-thesis-apa,(direct) / (none),6,6,1,0,6,6,1,0
user_engagement,/cite-britannica-apa,chatgpt.com / referral,6,4,1.5,0,6,4,1.5,0
user_engagement,/cite-pubmed-apa,bing / organic,6,6,1,0,6,6,1,0
user_engagement,/guide/apa-vs-mla-vs-chicago,bing / organic,6,6,1,0,6,6,1,0
user_engagement,/how-to-cite-tv-episode-apa,bing / organic,6,4,1.5,0,6,4,1.5,0
validation_attempted,/how-to-cite-book-apa,chatgpt.com / referral,6,1,6,0,6,1,6,0
citation_validated,/how-to-cite-book-apa,chatgpt.com / referral,5,1,5,0,5,1,5,0
editor_focused,/cite-harvard-business-review-apa,google / organic,5,1,5,0,5,1,5,0
first_visit,/cite-arxiv-apa,google / organic,5,5,1,0,5,5,1,0
first_visit,/cite-circulation-apa,(direct) / (none),5,5,1,0,5,5,1,0
first_visit,/cite-circulation-apa,bing / organic,5,5,1,0,5,5,1,0
first_visit,/cite-fda-apa,bing / organic,5,5,1,0,5,5,1,0
first_visit,/cite-new-york-times-apa,(direct) / (none),5,5,1,0,5,5,1,0
first_visit,/cite-world-development-apa,(direct) / (none),5,5,1,0,5,5,1,0
first_visit,/guide/apa-graduate-students,bing / organic,5,5,1,0,5,5,1,0
first_visit,/how-to-cite-book-apa,(direct) / (none),5,5,1,0,5,5,1,0
first_visit,/how-to-cite-dataset-apa,(direct) / (none),5,5,1,0,5,5,1,0
first_visit,/how-to-cite-encyclopedia-apa,(direct) / (none),5,4,1.25,0,5,4,1.25,0
first_visit,/how-to-cite-website-apa,(direct) / (none),5,5,1,0,5,5,1,0
first_visit,/how-to-cite-white-paper-apa,bing / organic,5,5,1,0,5,5,1,0
page_view,/guide/fix-apa-citation-errors,google / organic,5,1,5,0,5,1,5,0
page_view,/how-to-cite-book-apa,(direct) / (none),5,5,1,0,5,5,1,0
page_view,/how-to-cite-conference-paper-apa,chatgpt.com / referral,5,2,2.5,0,5,2,2.5,0
page_view,/how-to-cite-dataset-apa,(direct) / (none),5,5,1,0,5,5,1,0
page_view,/how-to-cite-encyclopedia-apa,(direct) / (none),5,4,1.25,0,5,4,1.25,0
page_view,/how-to-cite-facebook-apa,duckduckgo / organic,5,2,2.5,0,5,2,2.5,0
page_view,/how-to-cite-linkedin-apa,duckduckgo / organic,5,2,2.5,0,5,2,2.5,0
page_view,/how-to-cite-website-apa,(direct) / (none),5,5,1,0,5,5,1,0
scroll,/how-to-cite-government-report-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/cite-arxiv-apa,google / organic,5,5,1,0,5,5,1,0
session_start,/cite-circulation-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/cite-circulation-apa,bing / organic,5,5,1,0,5,5,1,0
session_start,/cite-fda-apa,bing / organic,5,5,1,0,5,5,1,0
session_start,/cite-new-york-times-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/cite-world-development-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/how-to-cite-book-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/how-to-cite-dataset-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/how-to-cite-encyclopedia-apa,(direct) / (none),5,4,1.25,0,5,4,1.25,0
session_start,/how-to-cite-website-apa,(direct) / (none),5,5,1,0,5,5,1,0
session_start,/how-to-cite-white-paper-apa,bing / organic,5,5,1,0,5,5,1,0
user_engagement,/cite-apa-journal-apa,bing / organic,5,4,1.25,0,5,4,1.25,0
user_engagement,/cite-google-scholar-apa,bing / organic,5,5,1,0,5,5,1,0
user_engagement,/how-to-cite-white-paper-apa,bing / organic,5,3,1.6666666666666667,0,5,3,1.6666666666666667,0
citation_validated,/cite-harvard-business-review-apa,google / organic,4,1,4,0,4,1,4,0
editor_focused,/how-to-cite-linkedin-apa,bing / organic,4,2,2,0,4,2,2,0
editor_focused,/how-to-cite-tv-episode-apa,bing / organic,4,2,2,0,4,2,2,0
first_visit,/cite-britannica-apa,chatgpt.com / referral,4,4,1,0,4,4,1,0
first_visit,/cite-cdc-apa,bing / organic,4,4,1,0,4,4,1,0
first_visit,/cite-circulation-apa,google / organic,4,4,1,0,4,4,1,0
first_visit,/cite-harvard-business-review-apa,bing / organic,4,4,1,0,4,4,1,0
first_visit,/cite-new-york-times-apa,bing / organic,4,4,1,0,4,4,1,0
first_visit,/cite-scientific-reports-apa,(direct) / (none),4,4,1,0,4,4,1,0
first_visit,/guide/apa-graduate-students,google / organic,4,4,1,0,4,4,1,0
first_visit,/guide/apa-reference-list,(direct) / (none),4,4,1,0,4,4,1,0
first_visit,/how-to-cite-facebook-apa,bing / organic,4,4,1,0,4,4,1,0
first_visit,/how-to-cite-newspaper-apa,google / organic,4,4,1,0,4,4,1,0
first_visit,/how-to-cite-software-apa,(direct) / (none),4,4,1,0,4,4,1,0
guide_viewed,/how-to-cite-conference-paper-apa,bing / organic,4,1,4,0,4,1,4,0
page_view,/cite-aaai-conference-on-artificial-intelligence-apa,google / organic,4,1,4,0,4,1,4,0
page_view,/cite-arxiv-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/cite-bbc-news-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/cite-bmj-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/cite-britannica-apa,(direct) / (none),4,1,4,0,4,1,4,0
page_view,/cite-britannica-apa,duckduckgo / organic,4,2,2,0,4,2,2,0
page_view,/cite-chemical-engineering-journal-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-environmental-science-and-pollution-research-apa,google / organic,4,1,4,0,4,1,4,0
page_view,/cite-epa-apa,perplexity.ai / referral,4,1,4,0,4,1,4,0
page_view,/cite-ieeecvf-conference-on-computer-vision-and-pattern-recognition-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-journal-of-environmental-management-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-journal-of-materials-chemistry-a-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-lancet-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-machine-learning-apa,copilot.microsoft.com / referral,4,1,4,0,4,1,4,0
page_view,/cite-merriam-webster-apa,(direct) / (none),4,1,4,0,4,1,4,0
page_view,/cite-merriam-webster-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/cite-merriam-webster-apa,perplexity / (not set),4,1,4,0,4,1,4,0
page_view,/cite-nature-nanotechnology-apa,google / organic,4,2,2,0,4,2,2,0
page_view,/cite-nature-reviews-disease-primers-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-new-york-times-apa,chatgpt.com / referral,4,1,4,0,4,1,4,0
page_view,/cite-npr-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/cite-npr-apa,duckduckgo / organic,4,2,2,0,4,2,2,0
page_view,/cite-nutrients-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-physical-review-letters-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-pubmed-apa,yahoo / organic,4,2,2,0,4,2,2,0
page_view,/cite-science-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-science-of-the-total-environment-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-strategic-management-journal-apa,google / organic,4,1,4,0,4,1,4,0
page_view,/cite-the-astrophysical-journal-apa,google / organic,4,2,2,0,4,2,2,0
page_view,/cite-the-new-england-journal-of-medicine-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/cite-the-quarterly-journal-of-economics-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-tourism-management-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/cite-tourism-management-apa,google / organic,4,1,4,0,4,1,4,0
page_view,/cite-youtube-apa,(direct) / (none),4,2,2,0,4,2,2,0
page_view,/guide/apa-citations-education,(direct) / (none),4,3,1.3333333333333333,0,4,3,1.3333333333333333,0
page_view,/guide/apa-graduate-students,google / organic,4,4,1,0,4,4,1,0
page_view,/guide/apa-reference-list,(direct) / (none),4,4,1,0,4,4,1,0
page_view,/guide/validate-reference-list,chatgpt.com / referral,4,1,4,0,4,1,4,0
page_view,/how-to-cite-blog-apa,bing / organic,4,1,4,0,4,1,4,0
page_view,/how-to-cite-film-apa,chatgpt.com / referral,4,1,4,0,4,1,4,0
page_view,/how-to-cite-government-report-apa,bing / organic,4,2,2,0,4,2,2,0
page_view,/how-to-cite-instagram-apa,ph.search.yahoo.com / referral,4,1,4,0,4,1,4,0
page_view,/how-to-cite-newspaper-apa,google / organic,4,4,1,0,4,4,1,0
page_view,/how-to-cite-software-apa,(direct) / (none),4,4,1,0,4,4,1,0
page_view,/how-to-cite-twitter-apa,bing / organic,4,1,4,0,4,1,4,0
page_view,/how-to-cite-twitter-apa,chatgpt.com / referral,4,1,4,0,4,1,4,0
results_revealed,/cite-harvard-business-review-apa,google / organic,4,1,4,0,4,1,4,0
results_revealed,/how-to-cite-book-apa,chatgpt.com / referral,4,1,4,0,4,1,4,0
scroll,/cite-world-development-apa,(direct) / (none),4,4,1,0,4,4,1,0
scroll,/how-to-cite-book-chapter-apa,(direct) / (none),4,4,1,0,4,4,1,0
scroll_depth,/cite-britannica-apa,(not set),4,1,4,0,4,1,4,0
scroll_depth,/how-to-cite-facebook-apa,chatgpt.com / (not set),4,1,4,0,4,1,4,0
